0: 본 방송과 방송에 사용된 미리듣기 음악은 벅스에서
12:  어시스턴트
46:  역시 그가 어떠한 경우에도 소변 이라든가 대해 라든가 못 가서 라든가 이런 얘기 많이 먹어 피벌레 모개미 출근 이런 얘기 정도 해야 열렬한 반응이 오고 있습니다 어제 날 가져 마왕 지혜 가스 얘기를 하고 났더니 아주 사방에서 많은 피드백 왔어요 그 중에서 제일 긴 건 본인의 피드백입니다 드디어 방송 근데 더 웃긴 건 뭔지 알아 나올 것 같아서 참 있잖아 그러면이 방귀가 속으로 들어가요 그게 차곡차곡 쌓여 가지고 크림으로 한꺼번에 나오는 거야 아 이게 위로 하는 요즘이 방법을 때까지 방귀 보단 낫잖아요 근데 너무 많이 참으면 트림도 너무 많이 나와서
106:  힘들어 우리 식구들 아이디 중에 트림도 자주 하면 토 나온다 지금 너 트림 하다가 마음을 가라앉히고 숨 좀 쉬었다가 다시 해야 돼 정말 비참해 인생은 아닌 거 같은데요 소리 나는 방귀 더욱 그런게 뭔지 가르쳐 줄까 보내 보는 기다려요 혹시 망이나 그사연 보낸 많이 나타나 뱃속에서 터지는 방귀 경험해 본 적 있어 나 우리는 가스를 참고 참고 참았는데 허망하게 뱃속에서 이렇게 터져버리는 그럴 때 얼마나 왜 그런지 알아 지들이 위해서 내가 얼마나 얼굴 노래 적으면서 뱃속에서 터진 소리 때문에 억울하게도 무단방출 자이 누명을 쓰게 한다니 주신 궁금한게 있는데 소리도 크고 내용들이지만 경매는 이걸 어떻게 해야 되니까 그런 경우는 별로
164:  거의 크기 드물잖아요 소리없이 강하다 등가 그렇지 않으면 소리가 큰 대신에 냄새 좀 없는 줄 텐데 소리도 엄청나고 냄새도 대단하다 그런 경우는 이제 가급적이면 독신의 삶을 유지하시고요 주위에 교우관계를 단절 하시고 그리고 직업은 인터넷을 통해 집에서 혼자 할 수 있는 그런 프리랜서직업 택하시고 주변사람들과의 사회적 관계를 단절하는 것이 이제는 방귀 뀌는 없이 내가 근데 관객이 말이야 이거 끊어질 나는구만 어느정도 참는 거 가능하지만 난 되는데 원래 되는 거 아닌가 내 참으면 일부가 몸속으로 흡수된다더라 어렸을 때 책에서 읽은 건데 자 이제 호기심은 드디어 여기를
224:  스카이프로 달았습니다 호기심 첨부입니다 어딘가에서 방구는 인체에 해로운 가스가 아니라고 들어온 거 같아요 까만거 참고방 물을 마시기를지라도 무해한 것이니 즐거운 마음으로 누군가의 냄새 맡으면 무해할 것이다라는 생각이 빠르지 않던데 덕우 백신은 시에 그 가스를 흡수된다는 거 같던데 라는데 준비 씨는 방구는 매탄 불붙는 메탄 가스 노출계 반응은 매탄 그리고 어떤 사람 나올 것 같으면 발구르기 손뼉을 같이 안 되는데 적자인생 씨는 참는 것도 한계가 있다 5분마다 정기적으로 온다고 생각해 보시오 참을 수 있을지 관광지는 방귀참으면 장에 가스가 것을 올라가서 아미 된다고 하는 거 같은데 그 말들은 되도록 몰래몰래 뛰는 중입니다 이렇게 암이 될 것 같지는 않은데 말이죠
284:  혜은이 가스 얘기도 한번 이렇게 나왔더니 거의 여러분들의 열렬한 반응이었습니다 넘어가 조별 이렇게 과학적인 그런 거 근거가 있는 우리 식구들 얘기하는 거 같지도 않고 그러므로 그 가스가 지나쳐서 사망했다 못 가수 린에서 뭐 이런 일이 별로 못 들어온 거 같아요
344:  오늘의 성동은 어흥 씨가 보낸 그래서부터 시작을 해 보도록 하겠습니다 여러분들도 지금 제 목소리 듣고 하지만 아시겠지만 감기 조심하세요 완전히 해가지고 숨쉬는소리 뭐 이런 소리가 아주 제가 듣기도 갑갑한 그런 소리가납니다이 꼬맹이 소리가 계속 이유미 중 되면은 이게 또 애교스럽다라고 생각하시는 분도 계시겠지만 남자 비움의 처음이 겹치면 이건 해결하기보다는 왠지 모르게 마누라는 양파즙 버튼 버터만 먹는 거 같은 그런 느낌이 되지요 제 목소리 제가 주시러 하나방송 않은이 시점에서 코만 막혀서 다행이에요 아까는 재채기가 계속 나서 이렇게 저희가 계속 나오는 방송 못 할 텐데 그런 생각이 들더라고요
404:  아 술 많이 켜져 마왕 나 꼭 10개월만에 글을 올리는데 기억할지 모르겠다 그렇죠 뚫고나서 혀 띵띵 부어서 가지고 발음 나쁜 교포 행세하던 기억력 거기까지 갈런지 아 그 사연 그 혀뚫기 나서현 띵띵 부어서 가지고 발음 나쁜 교포 행세하는 그사연 됐나요 하여튼 이번에도 내가 좀 엽기적인 짓을 시도해보려고 해 뭐 가을이라는 계절에 영향을 받는 건지 모르겠지만 중식당 배고픈데 뭐 괜찮은 거 없을까 직업상 너무 격한 건 안 되지만 어느 정도까지는 받아 주니까 아이디어 제시를 좀 해달라는 얘기지 참고로 지금 스타일을 요약하자면
464:  대칭되는 스타일 정장 입고 개 목걸이 하고 청바지랑 티셔츠 에다가 높은 구두랑 뒤에 옷핀 이라든가 군복바지 난방 이라든가 드레스 밑에 청바지입기 등등 좀 엽기야 그때도 단어사용 문제로 몇 번 조금 당하신 걸로 알고 있는데 이거는 대칭이 내층은 central wing Ok Google 쪽 양쪽이 동등하게 균형이 맞는 거를 대칭이다 그런 거 아니야 다음에 먹을 생각 중인데 내가 말해 볼게 어떻게 생각하는지 코멘트 좀 해 줘 밑에 있는 거 다 하겠다는게 아니라 그 중 하나만 이거 다 했다 가는
524:  미친년 소리들을 수 있으니까 첫째
534:  프린터 고객센터 이따 선 연결 주말인데 수제 고딩교복을 써서 치마는 아주 짧게 고치고 상인은 약간 타이트하게 구입하려고 참고로 나 여자야 참고로 안 하셔도 지금 보고 있어 치마를 잠기고 지금 상의를 타이트하게 있겠다는 거기 남자분 거 같진 않은데 그리고 신발은 군화 나 야한 롱부츠 신으면 죽을 거 같은데 어때 좋은 거 같아요 아주 좋아요
