0: 망 행복이 뭘까 난 그냥 즐거운 거라고 생각하는데 이런 내가 생각이 짧았어 철이 덜들은 걸까 3시간동안 클로버가 늦어서 네잎클로버를 찾았을 때 즐거움 친구들과 조절 거릴 때 즐거움 내가 좋아하는 나의 취미 생활을 할 때 즐거움 난 그 모든게 행복이라고 생각했는데 아닌 걸까 학원이 끝나고 엄마랑 오다가 주유소에 들렸어 거기 알바생으로 보이는 한 남학생이 있었는데 뭐랄까 현지에 즐거워 보이더라고
33: 쪽팔리지도 않는지 주유하면서 주유소에 울려퍼지던 지오디 노래 큰소리로 따라 부르고 왜 부분이 나올 때 막 춤추고 옆에서 같이 주연 다른 알바생한테 가슴에 안기고 근데 그걸 보는 우리 엄마가 한 마디 하더라 지혜는 저런일을 남지철교 즐겁게 아주 신났네 신났어 이렇게 말을 할 수도 있긴 한데 근데 수가 약간 깔보는듯한 느낌이 들어서 우리 엄마 말인데도 기분이 나쁘다고 그러면서 재능 죽을 때까지 전이라고 싶을까 요즘은 돈 없어도 공부 못하는게 말이 안 되는데 자꾸만 이런 거야 마치 공부도 안 하는 알바생 주제 저런 즐거움이 가장 친한 것이냐 저런 즐거운 따위는 금방 사라질 것이다라는 뜻이 뭘 할까 우리 엄마는 본듯한 직장을 가지고 있고 연봉 취소 6천이상 이게 행복에 살 때 같아 내가 가끔 직장 거 돈이 행복의 기준은 아니지 않냐 고등 그러면 엄마 이렇게 대답해
90: 그게 전부는 아닐지라도 큰 비중을 차지한다고 넌 어려서 아직 처리 안 들어서 모르겠지만 사실이라고 하지만 난 대단한 교수님하고 있는 우리 엄마보다 그 알바생이 훨씬 더 행복해 있던데 울 엄마 매일 바쁘게 지내고 집에 왔으면 피곤하다고 짜증나고 취미가 뭐냐고 물어 취미도 없고 누가 더 행복할까 그 알바생이라고 생각하는 내가 정말 생각이 짧고 유아적인 걸까 좋은 글
122: 에어호른 미친 것 같아요 두 분 중에 한 분은 최소한 연봉 6천 이상 번듯한 직장 이거 말고는 취미도 별로 없고 그게 행복의 잣대라고 생각하는 어머님께서 죄송스럽습니다 많은 힘든가 아니면 이런 생각을 하면서 모르겠어라는 얘기를 할 줄 아는 우리 그린 세월이 양이 에어 옳은 일인가 둘 중에 한분은 틀림없이 어떤 의미에서든 에어러닝 거 같은데요
161: 성경에 보면 어린아이와 같은 마음을 가지고 있어요 천국에 들어갈 수 있다라고 얘기를 하셨습니까 저는 그거를 제 나름대로는 그렇게 생각합니다 어린아이 때 우리가 실제로 행복해하던 일들은 부착 단순 했었습니다
179:  무척 당신 했었고
182:  지금 생각해 보면 굉장히 별거 아닌 걸 가지고 머릿속이 하얘질 정도로 행복해 가지고 어쩔 줄 모르던 또 그럴 수 있는 유일한 때가 어릴 때 거 같은데 나이 먹어서도 그 요령을 잊어 먹지 않을 수만 있다면 그렇다면 어떻게든 행복한 그런 사람이 될 수 있고 행복한 사람이
208:  범죄자 드리겠어요
211:  잘 듣는 행복한 사람 나쁜 짓 하겠어요 첨단 가지 않겠어요 요즘 그런 식으로 제 멋대로 한번 해석을 해 보았는데
221:  행복할 수 있는 건 이것도 주장인데 너 정말 강력하게 얘기하고 싶어요 행복이란 환경이나 위에 뭐 일이 잘 되구나 이런 주위에 요소에서 만들어 주는게 아니라 행복할 수 있는 건 재능이 다른 생각이 드는 거 있죠
242:  행복할 수 있는 행복을 느낄 수 있는 재능을 가지고 태어나는가 또 가지고 태어난 그 재능도 열심히 개발 하든가 여기서 개발은 여기에 개발
257:  개발 닭발 출발 말 발 곰발 소발
261:  오나경 그 행복할 수 있는 건 기술이 아니고 재능인데 그 행복할 수 있는 요령과 기술을 예 그 재능에서 끌어내는 거라고 생각을 하거든요 자 그러니까 주유소에서 그 시급 알바를 하면서 행복하고 입에서 노래가 나오고 웃을 수 있고 한 그 엄청난 재능
288:  어 그런 사람이 나중에 공부 열심히 해서 뭐가 되든 공부 안 했는데 뭐가 됐든 사실 공부를 열심히 잘 해서 학력사회 위로 올라가 준다라는고 유일한게 행복으로 가는 그 출구라고 생각하고 있는 우리 어른들
308:  리지 흉하고도 못 난 것은 그거 말고 다른 행복으로가는 다른 분들은 자신들이 못 보게 때문이거든요 자기들이 보지 못하는 문이라고 해서 그 문이 존재하지 않는 건 아니거든요 근데 그걸 인정을 순간에 본인들이 비참해져요 인정을 안 하려고 들어요 번듯한 취미 하나 없는 그런 어른이 자기가 가지고 있는 건 오로지 번듯한 직장도 연봉 6천 이상 직장 요거 하는데
336:  그래서 자기는 행복할 자격이 있고 이걸 같이 하는 남들은 행복할 자격이 없고이 생각에 사고로 후퇴해 버리면 자기는 아무것도 없는 사람인데 버리고 많은 거
350:  어떻게든 필사적으로 변명을 하늘로 외쳐 야마하 줘 그리고 어쩌면은 주유소에서 시급 알바를 하면서 행복할 수 있는 사람이 위해서 늘 짜증나 피곤에 절어 있는 자신의 모습이 초라해 보일 수도 있겠죠 자자 자자 엄마를 위로해 드리고 엄마하고 그런 얘기 자주 나누세요 엄마가 뭐라고 그랬지 나는 솔직히 엄마보다도 주유소 알바 다 행복해보였다 엄마 그렇게 짜증 내고 그러냐 이런 얘기 엄마한테도 해 드려야 되고 어떻게 보면은 너희들이 무슨 고생을 해 봤다고 세상을 알며 그게 전부는 아니더라도 번듯한 직장도 연봉과 이게 굉장히 중요한 부분을 차지한다라는 생각을 가지고 있는 그런 어른들의 비해서 어른들이 아닌 친구들은 또 반대의 선입견을 가지고 있잖아요 예를 들면
